"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","使用正交表法对ModifyUserInfo方法进行测试","0","0","12","0","0"
"","","测试用例 - 12","0","0","1","0","0"
"","","测试用例 - 6","0","0","1","0","0"
"","","使用白盒测试的方法，测试UserService的register方法","0","0","12","0","0"
"","","测试phone为null","0","0","1","0","0"
"","","把UserDao的Stub行为注入到UserService中，测试UserService的login方法","0","0","11","0","0"
"","","测试密码为空字符串","0","0","1","0","0"
"","","测试密码长度小于4","0","0","1","0","0"
"","","测试密码长度大于50","0","0","1","0","0"
"","","测试用例 - 7","0","0","1","0","0"
"","","测试用例 - 5","0","0","1","0","0"
"","","测试name超过最大长度","0","0","1","0","0"
"","","测试电话为null","0","0","1","0","0"
"","","测试passwd为最小长度","0","0","1","0","0"
"用户DAO层测试","用户DAO层测试","Sample Success","0","0","0","1","0"
"","","测试phone不是数字","0","0","1","0","0"
"","","测试正确的电话和密码","0","0","1","0","0"
"用户DAO层测试","用户DAO层测试","Sample Skip","0","0","0","1","0"
"","","测试电话不符合正则表达式","0","0","1","0","0"
"","","测试错误的电话和密码","0","0","1","0","0"
"","","测试用例 - 9","0","0","1","0","0"
"用户DAO层测试","用户DAO层测试","","0","0","0","1","0"
"","","测试用例 - 11","0","0","1","0","0"
"","","测试用例 - 2","0","0","1","0","0"
"","","测试用例 - 3","0","0","1","0","0"
"","","测试密码为null","0","0","1","0","0"
"","","测试phone超过最大长度","0","0","1","0","0"
"","","测试name为null","0","0","1","0","0"
"用户DAO层测试","用户DAO层测试","Sample Exception","0","0","0","1","0"
"","","测试phone为最小长度","0","0","1","0","0"
"","","测试已注册的phone","0","0","1","0","0"
"","","测试name为最小长度","0","0","1","0","0"
"","","测试用例 - 10","0","0","1","0","0"
"","","测试用例 - 8","0","0","1","0","0"
"","","测试用例 - 1","0","0","1","0","0"
"","","测试passwd超过最大长度","0","0","1","0","0"
"","","测试错误的电话和正确的密码","0","0","1","0","0"
"用户DAO层测试","用户DAO层测试","Sample Fail","0","0","0","1","0"
"","","测试sex为null","0","0","1","0","0"
"","","测试正确的电话和错误的密码","0","0","1","0","0"
"","","测试passwd为null","0","0","1","0","0"
"","","测试用例 - 4","0","0","1","0","0"
"","","测试电话为空字符串","0","0","1","0","0"
