"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","测试postID存在","0","0","25","0","0"
"","","测试输入的themeName和themePicture正常","0","0","1","0","0"
"","","测试图片链接长度超过2083","0","0","1","0","0"
"","","","0","0","0","3","0"
"","","测试内容长度超过1023","0","0","1","0","0"
"","","测试输入的themeName为空字符串","0","0","3","0","0"
"","","测试输入的themeName存在","0","0","1","0","0"
"","","测试图片链接长度为2082","0","0","1","0","0"
"","","测试主题名称长度为30","0","0","1","0","0"
"","","测试主题名称为空字符串","0","0","1","0","0"
"","","测试postID为null","0","0","1","0","0"
"","","测试输入的themeName和themePicture长度为2","0","0","1","0","0"
"","","测试图片链接为空","0","0","1","0","0"
"","","测试输入的themePicture长度等于2083","0","0","2","0","0"
"","","测试内容为空字符串","0","0","1","0","0"
"","","测试输入的themeName为null","0","0","2","0","0"
"","","测试输入的主题不存在","0","0","1","0","0"
"","","测试名字为空字符串","0","0","1","0","0"
"","","测试图片链接长度为1","0","0","1","0","0"
"","","测试内容长度为1","0","0","1","0","0"
"","","测试输入的themePicture为null","0","0","1","0","0"
"","","测试电话号码为11位的情况","0","0","1","0","0"
"","","测试输入的themePicture为空字符串","0","0","1","0","0"
"","","测试主题名称长度为29","0","0","1","0","0"
"","","测试主题为空","0","0","1","0","0"
"","","测试输入的themeName长度超过30","0","0","1","0","0"
"","","测试输入的themeName长度为30","0","0","1","0","0"
"","","测试名字为最小长度","0","0","1","0","0"
"","","测试输入的themeName和themePicture正常, themeName在数据库中已存在","0","0","1","0","0"
"","","测试输入的themeName长度超出30位的上限","0","0","1","0","0"
"","","测试输入为null","0","0","1","0","0"
"","","测试图片链接长度为2083","0","0","1","0","0"
"","","测试输入的themeName和themePicture长度为1","0","0","1","0","0"
"","","测试内容长度为1022","0","0","1","0","0"
"","","测试输入的themeName正常","0","0","1","0","0"
"","","测试内容为空","0","0","1","0","0"
"","","测试电话长度大于11","0","0","1","0","0"
"","","测试内容长度为1023","0","0","1","0","0"
"","","测试姓名为空","0","0","1","0","0"
"","","测试电话号码为10位的情况","0","0","1","0","0"
"","","测试名字为最大长度","0","0","1","0","0"
"","","测试主题名称长度为31","0","0","1","0","0"
"","","测试输入的themeName长度为31","0","0","1","0","0"
"","","测试图片链接为空字符串","0","0","1","0","0"
"","","测试时间为空","0","0","1","0","0"
"","","测试输入的themePicture长度超过2083","0","0","2","0","0"
"","","测试电话为空","0","0","1","0","0"
"","","测试输入的themeName和themePicture为空字符串","0","0","1","0","0"
"","","测试主题名称长度为1","0","0","1","0","0"
"","","测试名字超过最大长度","0","0","1","0","0"
"","","测试电话包含非数字字符","0","0","1","0","0"
