"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","3","","测试addComment","","edu.tongji.plantary.circle.service.impl.PostServiceImplTest$TestAddComment","test_024_addCommentWithNameLength31","测试用例 - 024 测试用户名长度为31",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","2","","测试addComment","","edu.tongji.plantary.circle.service.impl.PostServiceImplTest$TestAddComment","test_011_addCommentWithNullName","测试用例 - 011 测试用户名为null",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","4","","测试addComment","","edu.tongji.plantary.circle.service.impl.PostServiceImplTest$TestAddComment","test_013_addCommentWithNullPicture","测试用例 - 013 测试用户头像为null",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","2","","测试 addTheme 函数","","edu.tongji.plantary.circle.service.impl.ThemeServiceImplUnitTest$AddThemeTest","test_009_addThemeWithNormalNameAndPicture","测试用例 - 009 输入的themeName和themePicture正常",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","2","","测试addPost","","edu.tongji.plantary.circle.service.impl.PostServiceImplTest$TestAddPost","test_012_addPostWith2084Picture","测试用例 - 012 图片链接长度超过2083",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","3","","测试addComment","","edu.tongji.plantary.circle.service.impl.PostServiceImplTest$TestAddComment","test_018_addCommentWithNameMismatchedToPhone","测试用例 - 018 测试用户名与手机号不匹配",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","3","","测试addComment","","edu.tongji.plantary.circle.service.impl.PostServiceImplTest$TestAddComment","test_023_addCommentWithNameLength30","测试用例 - 023 测试用户名长度为30",""
"skipped","Sun Jun 18 22:04:21 CST 2023","Sun Jun 18 22:04:21 CST 2023","0","","PostTest","","PostTest","addComment","addComment()",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","4","","测试addComment","","edu.tongji.plantary.circle.service.impl.PostServiceImplTest$TestAddComment","test_016_addCommentWithInvalidReleaseTimeCharacter","测试用例 - 016 测试发布时间包含非法字符",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","4","","测试addComment","","edu.tongji.plantary.circle.service.impl.PostServiceImplTest$TestAddComment","test_017_addCommentWithNonexistentPhone","测试用例 - 017 测试手机号不存在",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","5","","测试addComment","","edu.tongji.plantary.circle.service.impl.PostServiceImplTest$TestAddComment","test_008_addCommentWithInvalidPhone","测试用例 - 008 测试手机号不是11位数字",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","2","","测试addPost","","edu.tongji.plantary.circle.service.impl.PostServiceImplTest$TestAddPost","test_022_addPostWith1024Content","测试用例 - 022 内容长度超过1023",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","2","","测试 addTheme 函数","","edu.tongji.plantary.circle.service.impl.ThemeServiceImplUnitTest$AddThemeTest","test_014_addThemeWithEmptyName","测试用例 - 014 输入的themeName为空字符串",""
"passed","Sun Jun 18 22:04:14 CST 2023","Sun Jun 18 22:04:14 CST 2023","144","","测试 updateThemeStateByName 函数","","edu.tongji.plantary.circle.service.impl.ThemeServiceImplUnitTest$TestUpdateThemeStateByName","test_001_UpdateThemeStateByNameWithExist","测试用例 - 001 输入的themeName存在",""
"passed","Sun Jun 18 22:04:14 CST 2023","Sun Jun 18 22:04:14 CST 2023","2","","测试 updateThemeStateByName 函数","","edu.tongji.plantary.circle.service.impl.ThemeServiceImplUnitTest$TestUpdateThemeStateByName","test_002_UpdateThemeStateByNameWithEmpty","测试用例 - 002 输入的themeName为空字符串",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","2","","测试addPost","","edu.tongji.plantary.circle.service.impl.PostServiceImplTest$TestAddPost","test_010_addPostWith2082Picture","测试用例 - 010 图片链接长度为2082",""
